PV,colour,value,expanded,generated,seconds,generated/second
34,White,-4,0,1,3.00002e-06,333331
33,Black,-4,1,2,1.00001e-05,199998
32,White,-4,3,5,6.99982e-06,714304
31,Black,-4,4,6,5.00004e-06,1.19999e+06
30,White,-4,9,13,1.19999e-05,1.08335e+06
29,Black,-4,10,14,1.10001e-05,1.27272e+06
28,White,-4,62,89,9.39998e-05,946811
27,Black,-4,123,175,0.000117,1.49573e+06
26,White,-4,725,1030,0.000704,1.46307e+06
25,Black,-4,3024,4354,0.002843,1.53148e+06
24,White,-4,8280,11660,0.002522,4.62331e+06
23,Black,-4,51809,73446,0.020173,3.64081e+06
22,White,-4,293005,412580,0.093309,4.42165e+06
21,Black,-4,2377002,3327476,0.752914,4.41946e+06
20,White,-4,8834700,12434817,2.9734,4.18202e+06
19,Black,-4,60266095,85601845,19.7945,4.32453e+06
18,White,-4,581406247,831086047,195.215,4.25729e+06
17,Black,-4,3709349012,1004846615,1224.11,820878
