PV,colour,value,expanded,generated,seconds,generated/second
34,White,-4,0,1,1.00001e-06,999992
33,Black,-4,1,2,2.00002e-06,999992
32,White,-4,3,5,2.00002e-06,2.49998e+06
31,Black,-4,4,6,2.00002e-06,2.99998e+06
30,White,-4,9,13,3.99997e-06,3.25002e+06
29,Black,-4,10,14,4.00003e-06,3.49997e+06
28,White,-4,20,26,9.99996e-06,2.60001e+06
27,Black,-4,61,81,3.29999e-05,2.45455e+06
26,White,-4,182,234,7.3e-05,3.20548e+06
25,Black,-4,753,991,0.000296,3.34797e+06
24,White,-4,1131,1489,0.000439,3.3918e+06
23,Black,-4,3184,4150,0.001267,3.27545e+06
22,White,-4,6559,8606,0.002702,3.18505e+06
21,Black,-4,74645,97832,0.029549,3.31084e+06
20,White,-4,94645,125361,0.038878,3.22447e+06
19,Black,-4,194967,260471,0.084039,3.09941e+06
18,White,-4,923890,1230721,0.383225,3.21148e+06
17,Black,-4,1554982,2074972,0.642683,3.22861e+06
16,White,-4,22672329,30486802,8.87759,3.43413e+06
15,Black,-2,32234218,43227607,13.0693,3.30756e+06
14,White,-2,84027291,111632007,34.1317,3.27063e+06
13,Black,-2,307497881,410893991,124.793,3.29261e+06
12,White,-2,3016095665,4025403104,1155.28,3.48437e+06
11,Black,-2,341432370,1886094915,1927.03,978759
