PV,colour,value,expanded,generated,seconds,generated/second
34,White,-4,0,1,9.99949e-07,1.00005e+06
33,Black,-4,1,2,3.00002e-06,666662
32,White,-4,3,5,4.00003e-06,1.24999e+06
31,Black,-4,4,6,2.00002e-06,2.99998e+06
30,White,-4,9,13,4.99992e-06,2.60004e+06
29,Black,-4,10,14,4.00003e-06,3.49997e+06
28,White,-4,20,26,1.1e-05,2.36364e+06
27,Black,-4,60,78,7.2e-05,1.08333e+06
26,White,-4,172,216,8.3e-05,2.60241e+06
25,Black,-4,676,865,0.000335,2.58209e+06
24,White,-4,942,1202,0.000495,2.42828e+06
23,Black,-4,2576,3250,0.001258,2.58347e+06
22,White,-4,4807,6066,0.002301,2.63624e+06
21,Black,-4,44445,54862,0.022251,2.4656e+06
20,White,-4,59991,74945,0.030281,2.47498e+06
19,Black,-4,125817,157708,0.071944,2.19209e+06
18,White,-4,512538,632069,0.33535,1.8848e+06
17,Black,-4,802512,989684,0.53839,1.83823e+06
16,White,-4,9295535,11346071,6.4235,1.76634e+06
15,Black,-2,15515376,19111219,10.9764,1.74112e+06
14,White,-2,39058148,47738860,27.521,1.73464e+06
13,Black,-2,137003734,167021845,95.348,1.75171e+06
12,White,-2,1209363634,1458119158,825.309,1.76676e+06
11,Black,-2,2260978254,2777011432,1628.65,1.7051e+06
