PV,colour,value,expanded,generated,seconds,generated/second
34,White,-4,0,1,3.00002e-06,333331
33,Black,-4,1,2,6.00005e-06,333331
32,White,-4,3,5,1.09999e-05,454552
31,Black,-4,4,6,6.00005e-06,999992
30,White,-4,9,13,1.30001e-05,999992
29,Black,-4,10,14,1.19999e-05,1.16668e+06
28,White,-4,62,86,7.89999e-05,1.08861e+06
27,Black,-4,122,168,0.000141,1.19149e+06
26,White,-4,562,751,0.000768,977865
25,Black,-4,2094,2791,0.002595,1.07553e+06
24,White,-4,4686,6091,0.005272,1.15535e+06
23,Black,-4,26577,33842,0.01664,2.03377e+06
22,White,-4,111142,139320,0.047219,2.95051e+06
21,Black,-4,542995,663929,0.298848,2.22163e+06
20,White,-4,2665366,3278952,1.51248,2.16793e+06
19,Black,-4,19874171,24470694,11.6038,2.10885e+06
18,White,-4,178133931,219412839,104.782,2.094e+06
17,Black,-4,1086354511,1333106289,637.644,2.09068e+06
