PV,colour,value,expanded,generated,seconds,generated/second
34,White,-4,0,1,1.00001e-06,999992
33,Black,-4,1,2,2.00002e-06,999992
32,White,-4,3,5,2.99991e-06,1.66672e+06
31,Black,-4,4,6,3.00002e-06,1.99998e+06
30,White,-4,14,20,7.99994e-06,2.50002e+06
29,Black,-4,15,21,7.00005e-06,2.99998e+06
28,White,-4,25,33,1.10001e-05,2.99998e+06
27,Black,-4,63,83,2.80001e-05,2.96428e+06
26,White,-4,305,391,0.000168,2.32738e+06
25,Black,-4,1185,1556,0.000599,2.59766e+06
24,White,-4,1791,2343,0.000769,3.04681e+06
23,Black,-4,3187,4111,0.00136,3.02279e+06
22,White,-4,8474,11050,0.003554,3.10917e+06
21,Black,-4,37623,48659,0.018122,2.68508e+06
20,White,-4,63487,82878,0.033068,2.50629e+06
19,Black,-4,130496,172313,0.058567,2.94215e+06
18,White,-4,395799,522817,0.174306,2.99942e+06
17,Black,-4,779959,1037634,0.324652,3.19614e+06
16,White,-4,5068824,6706773,2.11198,3.17559e+06
15,Black,-2,25075701,33402316,10.5802,3.15705e+06
14,White,-2,48524836,63992143,20.461,3.12752e+06
13,Black,-2,185886234,246176184,74.2502,3.3155e+06
12,White,-2,452749526,597126329,178.346,3.34813e+06
11,Black,-2,2451418412,3243535523,998.898,3.24711e+06
10,White,-2,4089703057,1121685476,1695.85,661432
