PV,colour,value,expanded,generated,seconds,generated/second
34,White,-4,0,1,1.00001e-06,999992
33,Black,-4,1,2,3.00002e-06,666662
32,White,-4,3,5,5.00004e-06,999992
31,Black,-4,4,6,2.00002e-06,2.99998e+06
30,White,-4,14,20,5.99993e-06,3.33337e+06
29,Black,-4,15,21,5.00004e-06,4.19997e+06
28,White,-4,25,33,1.10001e-05,2.99998e+06
27,Black,-4,62,80,3e-05,2.66667e+06
26,White,-4,262,322,0.000126,2.55556e+06
25,Black,-4,1034,1277,0.000537,2.37803e+06
24,White,-4,1413,1745,0.000579,3.01382e+06
23,Black,-4,2579,3158,0.001299,2.4311e+06
22,White,-4,5766,7077,0.002668,2.65255e+06
21,Black,-4,24045,29236,0.011675,2.50415e+06
20,White,-4,40391,49355,0.019861,2.48502e+06
19,Black,-4,84693,103887,0.042255,2.45857e+06
18,White,-4,237908,291874,0.152862,1.9094e+06
17,Black,-4,453520,553670,0.283168,1.95527e+06
16,White,-4,2415674,2940866,1.64045,1.79272e+06
15,Black,-2,10902221,13332183,7.65823,1.7409e+06
14,White,-2,22528129,27406872,15.9212,1.7214e+06
13,Black,-2,82465720,99998405,57.586,1.73651e+06
12,White,-2,202955108,245234336,143.939,1.70373e+06
11,Black,-2,1170014974,1429598889,841.228,1.69942e+06
10,White,-2,1961642177,2403186965,1424.23,1.68735e+06
