PV,colour,value,expanded,generated,seconds,generated/second
34,White,4,0,1,1.00001e-06,999992
33,Black,-4,1,2,2.00002e-06,999992
32,White,4,4,7,4.00003e-06,1.74999e+06
31,Black,-4,5,8,2.00002e-06,3.99997e+06
30,White,4,15,22,7.00005e-06,3.14283e+06
29,Black,-4,16,23,4.99992e-06,4.60007e+06
28,White,4,124,180,4.1e-05,4.39025e+06
27,Black,-4,291,416,8.70001e-05,4.7816e+06
26,White,4,1767,2507,0.000537,4.66853e+06
25,Black,-4,7493,10775,0.002422,4.4488e+06
24,White,4,20943,29551,0.006403,4.61518e+06
23,Black,-4,126613,180217,0.040304,4.47144e+06
22,White,4,752495,1064020,0.244839,4.34579e+06
21,Black,-4,6386012,8975073,2.09,4.2943e+06
20,White,4,23854933,33723596,7.78472,4.33202e+06
19,Black,-4,164671297,234989240,52.8345,4.44765e+06
18,White,4,1579367001,2268094521,513.4,4.41779e+06
