PV,colour,value,expanded,generated,seconds,generated/second
34,White,4,0,1,1.00001e-06,999992
33,Black,-4,1,2,3.00002e-06,666662
32,White,4,4,7,4.00003e-06,1.74999e+06
31,Black,-4,5,8,2.99991e-06,2.66675e+06
30,White,4,15,22,7.00005e-06,3.14283e+06
29,Black,-4,16,23,5.99993e-06,3.83338e+06
28,White,4,124,177,0.000119,1.4874e+06
27,Black,-4,290,409,0.000102,4.00981e+06
26,White,4,1509,2075,0.00059,3.51695e+06
25,Black,-4,5844,8086,0.002017,4.00892e+06
24,White,4,13948,18948,0.004643,4.08098e+06
23,Black,-4,78817,106613,0.028076,3.7973e+06
22,White,4,369689,497662,0.136835,3.63695e+06
21,Black,-4,2171209,2893417,0.847653,3.41344e+06
20,White,4,10146808,13609788,4.06034,3.35188e+06
19,Black,-4,76550620,103408423,30.6335,3.37566e+06
18,White,4,684699790,927522805,276.966,3.34887e+06
17,Black,-4,4242308071,1446172219,1703.34,849020
